iNatID,taxonID,identifier,parentNameUsageID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,modified,scientificName,taxonRank,references
1,https://www.inaturalist.org/taxa/1,https://www.inaturalist.org/taxa/1,https://www.inaturalist.org/taxa/48460,Animalia,,,,,,,,2020-06-23T23:26:20Z,Animalia,kingdom,http://www.catalogueoflife.org/annual-checklist/2013/browse/tree/id/13021388
2,https://www.inaturalist.org/taxa/2,https://www.inaturalist.org/taxa/2,https://www.inaturalist.org/taxa/1,Animalia,Chordata,,,,,,,2020-06-23T23:06:02Z,Chordata,phylum,http://www.catalogueoflife.org/annual-checklist/2013/browse/tree/id/13021451
3,https://www.inaturalist.org/taxa/3,https://www.inaturalist.org/taxa/3,https://www.inaturalist.org/taxa/355675,Animalia,Chordata,Aves,,,,,,2020-02-07T21:46:10Z,Aves,class,http://www.catalogueoflife.org/annual-checklist/browse/tree/id/2340272
4,https://www.inaturalist.org/taxa/4,https://www.inaturalist.org/taxa/4,https://www.inaturalist.org/taxa/3,Animalia,Chordata,Aves,Gruiformes,,,,,2019-10-19T15:14:18Z,Gruiformes,order,http://www.catalogueoflife.org/annual-checklist/browse/tree/id/2340315
5,https://www.inaturalist.org/taxa/5,https://www.inaturalist.org/taxa/5,https://www.inaturalist.org/taxa/4,Animalia,Chordata,Aves,Gruiformes,Aramidae,,,,2020-02-11T06:44:27Z,Aramidae,family,http://www.birdlife.org/datazone/speciessearchresults.php?fam=46
6,https://www.inaturalist.org/taxa/6,https://www.inaturalist.org/taxa/6,https://www.inaturalist.org/taxa/5,Animalia,Chordata,Aves,Gruiformes,Aramidae,Aramus,,,2020-02-11T06:43:19Z,Aramus,genus,http://www.birdlife.org/datazone/speciessearchresults.php?gen=136
7,https://www.inaturalist.org/taxa/7,https://www.inaturalist.org/taxa/7,https://www.inaturalist.org/taxa/6,Animalia,Chordata,Aves,Gruiformes,Aramidae,Aramus,guarauna,,2021-01-07T13:56:42Z,Aramus guarauna,species,http://www.birdlife.org/datazone/speciesfactsheet.php?id=2799
12,https://www.inaturalist.org/taxa/12,https://www.inaturalist.org/taxa/12,https://www.inaturalist.org/taxa/71262,Animalia,Chordata,Aves,Cariamiformes,Cariamidae,,,,2020-02-11T06:42:21Z,Cariamidae,family,http://www.birdlife.org/datazone/speciessearchresults.php?fam=39
13,https://www.inaturalist.org/taxa/13,https://www.inaturalist.org/taxa/13,https://www.inaturalist.org/taxa/12,Animalia,Chordata,Aves,Cariamiformes,Cariamidae,Cariama,,,2018-12-19T08:58:24Z,Cariama,genus,http://www.birdlife.org/datazone/speciessearchresults.php?gen=279
14,https://www.inaturalist.org/taxa/14,https://www.inaturalist.org/taxa/14,https://www.inaturalist.org/taxa/13,Animalia,Chordata,Aves,Cariamiformes,Cariamidae,Cariama,cristata,,2020-12-27T16:29:41Z,Cariama cristata,species,http://www.birdlife.org/datazone/speciesfactsheet.php?id=2806
15,https://www.inaturalist.org/taxa/15,https://www.inaturalist.org/taxa/15,https://www.inaturalist.org/taxa/12,Animalia,Chordata,Aves,Cariamiformes,Cariamidae,Chunga,,,2018-12-19T08:51:39Z,Chunga,genus,http://www.birdlife.org/datazone/speciessearchresults.php?gen=384
16,https://www.inaturalist.org/taxa/16,https://www.inaturalist.org/taxa/16,https://www.inaturalist.org/taxa/15,Animalia,Chordata,Aves,Cariamiformes,Cariamidae,Chunga,burmeisteri,,2020-08-30T00:11:23Z,Chunga burmeisteri,species,http://www.birdlife.org/datazone/speciesfactsheet.php?id=2807
